id,study_group,new_group,sex,age,race,educ,ethnic,Video_1002_Position,Video_1002_Rating,Video_1002_ReactionTime,Video_1002_SelectionTime,Video_1002_sex,Video_1002_race,Video_1003_Position,Video_1003_Rating,Video_1003_ReactionTime,Video_1003_SelectionTime,Video_1003_sex,Video_1003_race,Video_1005_Position,Video_1005_Rating,Video_1005_ReactionTime,Video_1005_SelectionTime,Video_1005_sex,Video_1005_race,Video_1010_Position,Video_1010_Rating,Video_1010_ReactionTime,Video_1010_SelectionTime,Video_1010_sex,Video_1010_race,Video_1011_Position,Video_1011_Rating,Video_1011_ReactionTime,Video_1011_SelectionTime,Video_1011_sex,Video_1011_race,Video_1015_Position,Video_1015_Rating,Video_1015_ReactionTime,Video_1015_SelectionTime,Video_1015_sex,Video_1015_race,Video_1019_Position,Video_1019_Rating,Video_1019_ReactionTime,Video_1019_SelectionTime,Video_1019_sex,Video_1019_race,Video_1021_Position,Video_1021_Rating,Video_1021_ReactionTime,Video_1021_SelectionTime,Video_1021_sex,Video_1021_race,Video_1023_Position,Video_1023_Rating,Video_1023_ReactionTime,Video_1023_SelectionTime,Video_1023_sex,Video_1023_race,Video_1026_Position,Video_1026_Rating,Video_1026_ReactionTime,Video_1026_SelectionTime,Video_1026_sex,Video_1026_race,Video_1029_Position,Video_1029_Rating,Video_1029_ReactionTime,Video_1029_SelectionTime,Video_1029_sex,Video_1029_race,Video_1031_Position,Video_1031_Rating,Video_1031_ReactionTime,Video_1031_SelectionTime,Video_1031_sex,Video_1031_race,Video_1032_Position,Video_1032_Rating,Video_1032_ReactionTime,Video_1032_SelectionTime,Video_1032_sex,Video_1032_race,Video_1033_Position,Video_1033_Rating,Video_1033_ReactionTime,Video_1033_SelectionTime,Video_1033_sex,Video_1033_race,Video_1038_Position,Video_1038_Rating,Video_1038_ReactionTime,Video_1038_SelectionTime,Video_1038_sex,Video_1038_race,Video_1043_Position,Video_1043_Rating,Video_1043_ReactionTime,Video_1043_SelectionTime,Video_1043_sex,Video_1043_race,Video_1045_Position,Video_1045_Rating,Video_1045_ReactionTime,Video_1045_SelectionTime,Video_1045_sex,Video_1045_race,Video_1046_Position,Video_1046_Rating,Video_1046_ReactionTime,Video_1046_SelectionTime,Video_1046_sex,Video_1046_race,Video_1047_Position,Video_1047_Rating,Video_1047_ReactionTime,Video_1047_SelectionTime,Video_1047_sex,Video_1047_race,Video_1052_Position,Video_1052_Rating,Video_1052_ReactionTime,Video_1052_SelectionTime,Video_1052_sex,Video_1052_race,Video_1053_Position,Video_1053_Rating,Video_1053_ReactionTime,Video_1053_SelectionTime,Video_1053_sex,Video_1053_race,Video_1060_Position,Video_1060_Rating,Video_1060_ReactionTime,Video_1060_SelectionTime,Video_1060_sex,Video_1060_race,Video_1068_Position,Video_1068_Rating,Video_1068_ReactionTime,Video_1068_SelectionTime,Video_1068_sex,Video_1068_race,Video_1069_Position,Video_1069_Rating,Video_1069_ReactionTime,Video_1069_SelectionTime,Video_1069_sex,Video_1069_race,Video_1073_Position,Video_1073_Rating,Video_1073_ReactionTime,Video_1073_SelectionTime,Video_1073_sex,Video_1073_race,Video_1074_Position,Video_1074_Rating,Video_1074_ReactionTime,Video_1074_SelectionTime,Video_1074_sex,Video_1074_race,Video_1076_Position,Video_1076_Rating,Video_1076_ReactionTime,Video_1076_SelectionTime,Video_1076_sex,Video_1076_race,Video_1078_Position,Video_1078_Rating,Video_1078_ReactionTime,Video_1078_SelectionTime,Video_1078_sex,Video_1078_race,Video_1079_Position,Video_1079_Rating,Video_1079_ReactionTime,Video_1079_SelectionTime,Video_1079_sex,Video_1079_race,Video_1080_Position,Video_1080_Rating,Video_1080_ReactionTime,Video_1080_SelectionTime,Video_1080_sex,Video_1080_race,Video_1082_Position,Video_1082_Rating,Video_1082_ReactionTime,Video_1082_SelectionTime,Video_1082_sex,Video_1082_race,Video_1085_Position,Video_1085_Rating,Video_1085_ReactionTime,Video_1085_SelectionTime,Video_1085_sex,Video_1085_race,Video_Fractal_007_Position,Video_Fractal_007_Rating,Video_Fractal_007_ReactionTime,Video_Fractal_007_SelectionTime,Video_Fractal_025_Position,Video_Fractal_025_Rating,Video_Fractal_025_ReactionTime,Video_Fractal_025_SelectionTime,Video_Fractal_027__Position,Video_Fractal_027__Rating,Video_Fractal_027__ReactionTime,Video_Fractal_027__SelectionTime,Video_Fractal_028_Position,Video_Fractal_028_Rating,Video_Fractal_028_ReactionTime,Video_Fractal_028_SelectionTime,Video_Fractal_030_Position,Video_Fractal_030_Rating,Video_Fractal_030_ReactionTime,Video_Fractal_030_SelectionTime,Video_Fractal_034_Position,Video_Fractal_034_Rating,Video_Fractal_034_ReactionTime,Video_Fractal_034_SelectionTime,Video_Fractal_044_Position,Video_Fractal_044_Rating,Video_Fractal_044_ReactionTime,Video_Fractal_044_SelectionTime,Video_Fractal_048_Position,Video_Fractal_048_Rating,Video_Fractal_048_ReactionTime,Video_Fractal_048_SelectionTime,Video_Fractal_049_Position,Video_Fractal_049_Rating,Video_Fractal_049_ReactionTime,Video_Fractal_049_SelectionTime,Video_Fractal_051_Position,Video_Fractal_051_Rating,Video_Fractal_051_ReactionTime,Video_Fractal_051_SelectionTime,Video_Fractal_2001_Position,Video_Fractal_2001_Rating,Video_Fractal_2001_ReactionTime,Video_Fractal_2001_SelectionTime,Video_Fractal_2002_Position,Video_Fractal_2002_Rating,Video_Fractal_2002_ReactionTime,Video_Fractal_2002_SelectionTime,Video_Fractal_2004_Position,Video_Fractal_2004_Rating,Video_Fractal_2004_ReactionTime,Video_Fractal_2004_SelectionTime,Video_Fractal_2006_Position,Video_Fractal_2006_Rating,Video_Fractal_2006_ReactionTime,Video_Fractal_2006_SelectionTime,Video_Fractal_2008_Position,Video_Fractal_2008_Rating,Video_Fractal_2008_ReactionTime,Video_Fractal_2008_SelectionTime,Video_Fractal_2009_Position,Video_Fractal_2009_Rating,Video_Fractal_2009_ReactionTime,Video_Fractal_2009_SelectionTime,Video_Fractal_2010_Position,Video_Fractal_2010_Rating,Video_Fractal_2010_ReactionTime,Video_Fractal_2010_SelectionTime,Video_Fractal_2013_Position,Video_Fractal_2013_Rating,Video_Fractal_2013_ReactionTime,Video_Fractal_2013_SelectionTime,Video_Fractal_2015_Position,Video_Fractal_2015_Rating,Video_Fractal_2015_ReactionTime,Video_Fractal_2015_SelectionTime,Video_Fractal_2016_Position,Video_Fractal_2016_Rating,Video_Fractal_2016_ReactionTime,Video_Fractal_2016_SelectionTime,Video_Fractal_2017_Position,Video_Fractal_2017_Rating,Video_Fractal_2017_ReactionTime,Video_Fractal_2017_SelectionTime,Video_Fractal_2018_Position,Video_Fractal_2018_Rating,Video_Fractal_2018_ReactionTime,Video_Fractal_2018_SelectionTime,Video_Fractal_2019_Position,Video_Fractal_2019_Rating,Video_Fractal_2019_ReactionTime,Video_Fractal_2019_SelectionTime,Video_Fractal_2020_Position,Video_Fractal_2020_Rating,Video_Fractal_2020_ReactionTime,Video_Fractal_2020_SelectionTime,Video_Fractal_2021_Position,Video_Fractal_2021_Rating,Video_Fractal_2021_ReactionTime,Video_Fractal_2021_SelectionTime,Video_Fractal_2022_Position,Video_Fractal_2022_Rating,Video_Fractal_2022_ReactionTime,Video_Fractal_2022_SelectionTime,Video_Fractal_2023_Position,Video_Fractal_2023_Rating,Video_Fractal_2023_ReactionTime,Video_Fractal_2023_SelectionTime,Video_Fractal_2024_Position,Video_Fractal_2024_Rating,Video_Fractal_2024_ReactionTime,Video_Fractal_2024_SelectionTime,Video_Fractal_2025_Position,Video_Fractal_2025_Rating,Video_Fractal_2025_ReactionTime,Video_Fractal_2025_SelectionTime,Video_Fractal_2026_Position,Video_Fractal_2026_Rating,Video_Fractal_2026_ReactionTime,Video_Fractal_2026_SelectionTime,Video_Fractal_2029_Position,Video_Fractal_2029_Rating,Video_Fractal_2029_ReactionTime,Video_Fractal_2029_SelectionTime,Video_Fractal_2030_Position,Video_Fractal_2030_Rating,Video_Fractal_2030_ReactionTime,Video_Fractal_2030_SelectionTime,conte_mean_all,conte_mean_short
b1b08961,1,1,2,32,1,16,2,53,60,3740,8666,1,1,13,90,8638,16831,1,1,24,150,3148,37162,0,0,19,30,4809,9832,1,1,58,60,5014,13831,0,1,30,60,3866,8833,0,0,63,150,3128,22997,0,2,25,0,5656,54993,1,1,14,0,3640,10165,0,1,61,30,9056,14165,0,1,11,90,3763,14998,1,0,23,0,8708,43827,0,1,43,60,4557,13998,0,0,46,60,2567,6999,0,1,12,60,3142,11831,0,0,54,30,3748,11999,1,1,5,120,3927,15831,0,0,16,0,7220,28830,1,1,42,150,3145,13332,1,0,27,0,7716,101654,1,1,36,120,2485,16998,1,1,34,0,4636,9332,1,0,22,90,4674,12832,0,1,15,0,9504,14498,0,1,48,60,7711,14665,1,0,64,210,2744,13665,1,0,57,30,4041,15665,1,1,17,60,7264,19664,1,1,6,150,3393,21664,1,1,40,60,5060,11998,0,0,51,30,3287,20664,1,1,26,30,6247,10499,0,2,47,0,6249,94989,31,90,3741,14998,29,120,3729,23830,59,0,4633,22331,37,90,2117,9665,21,150,4377,17831,60,90,6483,22164,20,30,3011,9665,41,60,4534,11999,1,0,27695,47827,7,120,11204,41662,44,120,3342,12666,10,90,4360,15332,56,60,3912,10165,33,0,4592,27830,62,90,5776,13332,50,0,4484,22164,45,30,3840,8333,8,0,20047,95154,52,30,3977,15164,3,90,4613,27829,39,150,3654,15498,2,90,5731,27663,55,30,2980,8165,32,120,3707,12165,28,90,3499,14164,38,90,540,8332,49,0,6334,147814,4,180,3767,27163,35,60,4059,17331,9,150,3403,31496,18,60,5807,11998,3.625,4
08797c9a,4,2,1,34,2,12,2,35,0,2561,15331,1,1,64,150,2861,9832,1,1,40,300,4495,18497,0,0,22,-90,34540,39828,1,1,41,-90,246,5333,0,1,13,0,4354,14331,0,0,5,0,8985,58992,0,2,48,-30,4759,17831,1,1,12,0,5539,31829,0,1,27,-180,6741,15831,0,1,59,0,5469,18831,1,0,54,0,3668,11665,0,1,44,0,8861,20831,0,0,18,0,17356,85656,0,1,21,240,9414,27163,0,0,46,0,45,7666,1,1,60,-90,3142,8999,0,0,17,-90,3521,25997,1,1,58,270,11895,29163,1,0,24,-180,4985,35662,1,1,63,-60,6279,55326,1,1,49,240,7672,19831,1,0,25,-90,1080,16665,0,1,6,90,21395,32829,0,1,36,-120,2823,9665,1,0,10,210,6275,29663,1,0,33,-180,4411,14331,1,1,38,0,8091,19164,1,1,52,120,8330,22164,1,1,20,-150,3309,11499,0,0,55,-30,177,10666,1,1,11,0,10219,17997,0,2,34,30,1717,23997,23,-120,494,11665,2,60,6780,43328,42,-120,4108,12332,43,0,240,10499,29,60,4622,13832,26,90,3597,9832,51,270,2107,14664,3,330,4188,54993,7,-30,5627,12332,37,30,3513,13498,45,120,6715,15664,15,150,6195,15998,1,420,6598,82323,61,90,2128,8332,4,30,10804,30663,47,-30,7606,16997,14,-30,9566,36828,53,0,8493,16331,31,60,3331,11332,16,120,8747,32496,19,0,39962,79157,8,0,9180,27330,28,120,10551,16831,32,210,3143,14831,57,30,2680,12998,50,-60,5392,10499,56,30,9950,36162,9,0,52990,62659,30,-210,287,7333,62,270,582,22164,39,90,4884,13331,3.5,3.833333333
a6a04d46,4,2,1,34,2,12,2,4,270,2316,15832,1,1,29,270,2471,14498,1,1,30,270,2820,22831,0,0,2,120,3738,20830,1,1,21,240,2942,14165,0,1,51,150,2612,10499,0,0,27,240,2583,14998,0,2,25,270,2663,18498,1,1,52,120,2015,9998,0,1,54,180,3038,12998,0,1,60,180,7122,25164,1,0,58,150,2664,12831,0,1,1,120,16164,53493,0,0,33,240,2812,12999,0,1,15,240,5462,22830,0,0,45,240,3425,17998,1,1,59,120,1647,12166,0,0,44,210,3668,19498,1,1,38,270,2280,14998,1,0,9,180,2206,12665,1,1,20,180,2546,13331,1,1,40,60,3357,11665,1,0,18,180,3377,16164,0,1,35,210,4045,19164,0,1,8,210,2790,13331,1,0,16,300,2892,21497,1,0,11,-240,2998,21164,1,1,10,390,3428,22497,1,1,28,240,2432,12998,1,1,53,150,2892,14165,0,0,62,300,5826,35495,1,1,26,330,2292,26329,0,2,50,180,2627,12332,43,210,3777,18164,17,120,4586,34329,34,180,5345,16498,36,270,3779,17998,31,-60,7970,12832,3,300,3579,18998,61,180,3194,17665,32,240,3686,14832,56,150,286,13998,37,210,3180,13165,7,-60,4417,20497,13,180,2820,13831,42,120,5077,15664,48,180,2909,13999,64,120,3485,12332,5,150,5381,17664,12,-150,2492,10998,47,210,89,12498,24,-120,8058,31495,14,180,3057,15665,46,210,6425,19664,6,210,6208,18497,22,210,4401,15165,57,120,3932,14165,39,240,4307,17998,55,120,5593,14998,41,30,5092,9499,49,150,3845,14332,19,210,5162,17165,23,180,4142,14831,63,-210,6261,17165,3.375,4
31bbbe06,6,3,2,33,2,16,2,57,60,5584,11665,1,1,14,30,5494,13665,1,1,41,60,4936,15998,0,0,37,90,7441,32662,1,1,25,60,6802,14831,0,1,4,30,5277,12332,0,0,1,30,27174,63492,0,2,6,60,6012,16498,1,1,12,0,9022,11999,0,1,26,90,8617,26997,0,1,39,90,7956,27163,1,0,61,60,5006,12665,0,1,20,60,4615,16331,0,0,38,60,6696,17831,0,1,13,30,9256,47160,0,0,49,60,7995,37662,1,1,10,60,7313,18331,0,0,55,90,7566,22997,1,1,23,60,7144,14332,1,0,27,60,7554,16831,1,1,2,90,9291,29329,1,1,21,60,8068,18998,1,0,16,60,8311,14998,0,1,51,90,5814,20831,0,1,29,60,2717,11498,1,0,18,60,4197,12165,1,0,43,60,9071,18498,1,1,35,60,7909,18497,1,1,50,60,5700,13165,1,1,8,60,5361,14165,0,0,53,60,12626,23830,1,1,42,90,6555,16498,0,2,47,60,7069,16831,48,60,6782,15165,60,90,8778,19164,45,60,5614,12999,31,60,6824,32829,9,60,5541,11832,44,60,7635,15165,34,60,7034,15832,46,60,7121,15332,3,30,5045,11665,32,60,5999,15498,19,60,6192,13999,28,30,4480,10832,58,90,7116,15831,40,60,6410,17331,59,60,7482,13164,63,60,4896,12498,30,60,7624,19997,11,0,4379,10332,36,60,6667,12998,62,60,6914,13332,15,60,9065,16164,7,60,6037,12498,5,30,6089,24163,17,60,9404,21497,52,60,6427,14498,33,60,5284,12998,56,90,8167,16165,24,60,7021,14832,22,60,5373,18165,54,60,7440,14331,64,60,5882,13498,3.75,3.833333333
256e516d,4,2,1,34,2,20,2,53,180,2667,15498,1,1,14,90,3910,33496,1,1,57,270,3537,20498,0,0,28,60,5119,38496,1,1,43,180,20644,38495,0,1,37,150,3326,18497,0,0,34,210,3605,27996,0,2,48,0,33466,47827,1,1,10,150,4301,21664,0,1,18,90,5422,20831,0,1,11,300,4113,26830,1,0,45,60,2702,10832,0,1,50,90,4593,18498,0,0,6,210,4233,24163,0,1,27,210,7551,30996,0,0,41,240,3228,25830,1,1,26,90,6941,20497,0,0,49,90,4392,19331,1,1,62,330,2491,31329,1,0,1,180,21290,61325,1,1,7,180,4906,25830,1,1,56,330,3267,21164,1,0,24,120,10665,44161,0,1,60,120,3846,13665,0,1,38,330,2735,28830,1,0,59,270,2647,19831,1,0,21,-90,47804,67825,1,1,19,150,4889,17664,1,1,13,150,3821,18997,1,1,35,60,4423,19664,0,0,29,60,6531,14999,1,1,33,150,3113,14665,0,2,17,0,36362,73157,63,90,5299,20164,55,90,5082,17164,61,120,4577,23331,32,90,4367,21831,9,210,3391,15498,4,120,13928,54493,5,120,7146,27997,52,120,2945,12665,42,90,5375,15998,15,60,18548,35495,58,60,4516,14332,3,120,6359,49827,46,60,2574,10666,64,90,3895,22164,47,300,2303,19497,2,90,26299,108986,44,90,5863,14498,31,120,5530,41494,25,90,7327,24830,40,120,4489,15832,12,90,6864,18498,36,60,4680,15331,16,0,12544,32829,23,90,7466,19165,20,90,2902,14332,22,90,6849,29330,8,120,11763,28330,51,30,4075,10832,30,60,12433,73824,39,90,4756,14332,54,90,3030,11166,2.75,2.833333333
1e89f3f9,1,1,2,33,1,20,2,43,120,2603,10665,1,1,58,150,3226,17665,1,1,21,270,3705,21831,0,0,24,390,3432,23830,1,1,39,120,7315,16498,0,1,18,420,3582,32162,0,0,8,330,4768,25497,0,2,42,60,4268,9332,1,1,36,150,1756,15165,0,1,61,150,6363,29663,0,1,7,330,4108,22997,1,0,17,330,3975,23330,0,1,59,180,3194,13998,0,0,50,120,4216,23164,0,1,41,60,2706,11165,0,0,22,150,2780,12498,1,1,4,210,3756,19498,0,0,30,120,16005,32163,1,1,33,360,2888,23997,1,0,34,150,3315,13332,1,1,16,360,3925,24997,1,1,54,120,5844,19165,1,0,62,180,5327,18664,0,1,52,150,9332,35496,0,1,64,150,4501,12998,1,0,35,240,2439,18831,1,0,2,30,8815,15498,1,1,28,120,4466,15165,1,1,10,30,5995,34829,1,1,20,240,3268,18164,0,0,57,180,3097,14998,1,1,48,150,4215,13498,0,2,6,-120,4799,11832,27,90,3267,13998,3,-150,4172,11999,12,-90,3867,24663,32,90,3776,13999,14,90,8261,21663,25,-120,3034,10666,13,120,9075,51994,53,30,5637,11498,49,-30,3578,9666,40,30,5081,9332,46,90,34403,53660,15,90,8136,21664,26,90,3402,8166,1,150,10358,60326,55,60,4119,10998,60,-90,5088,11832,29,-210,3306,14998,45,-60,7585,20164,31,60,3858,11497,63,30,14837,25330,38,-120,4181,12166,56,150,3791,15665,5,120,3699,14831,23,210,5144,15498,51,-60,11852,20831,44,-60,13489,19998,11,-60,6178,16831,19,90,10947,29662,47,90,7936,13332,37,150,14528,26663,9,-120,5295,21497,3.25,3.5
d55deb67,1,1,2,33,2,16,2,24,390,6405,57660,1,1,1,420,12774,66658,1,1,39,420,4732,43494,0,0,27,390,6588,54826,1,1,9,360,5142,41661,0,1,13,420,5205,43994,0,0,58,420,4026,31496,0,2,34,390,4639,44994,1,1,7,420,4581,40161,0,1,32,360,5735,45161,0,1,26,420,5813,47328,1,0,15,360,4372,37329,0,1,4,420,6331,43828,0,0,28,420,4320,46994,0,1,55,420,1634,30163,0,0,63,420,4044,38828,1,1,37,420,6060,46827,0,0,17,420,4273,40495,1,1,8,420,3894,55160,1,0,49,420,4538,44661,1,1,60,420,5931,30829,1,1,35,420,5067,40162,1,0,19,420,6402,50994,0,1,29,420,5689,47328,0,1,18,420,3829,42995,1,0,16,420,4577,42328,1,0,30,270,6951,40828,1,1,12,420,5797,38829,1,1,38,420,4400,42328,1,1,50,420,4632,57993,0,0,25,420,5587,45828,1,1,36,420,7391,42995,0,2,42,390,3896,50161,45,420,6946,43161,22,420,6034,39328,33,0,20962,79990,31,240,8634,32996,23,420,5283,60992,57,420,4698,40328,11,360,4878,32829,56,420,6843,40161,20,360,5738,94488,59,390,3598,39995,44,420,6692,44995,5,420,9337,57659,52,390,4407,58992,6,420,4452,48327,2,420,16287,61659,64,270,4220,21497,48,120,4747,34163,46,390,3520,38329,3,390,20775,58159,14,420,4915,50160,62,420,4440,31829,43,420,4246,41161,61,390,19015,76657,53,270,5197,54994,41,420,5103,38828,51,420,6580,52827,10,360,5727,51993,21,390,5832,40329,54,270,3993,32162,47,420,3368,33162,40,390,7412,58160,3.25,3.5
6ccd621e,2,1,2,30,2,18,2,5,0,5902,21830,1,1,6,30,5292,11832,1,1,2,0,99579,155481,0,0,37,30,3580,9332,1,1,24,30,9900,17498,0,1,4,120,5327,18331,0,0,10,60,5666,16998,0,2,25,30,4297,13166,1,1,54,60,3858,14499,0,1,20,30,8814,39328,0,1,15,30,6522,13832,1,0,18,0,4563,30163,0,1,36,30,9126,15832,0,0,38,30,4815,25496,0,1,33,-30,4089,8999,0,0,17,30,10028,16331,1,1,19,0,17661,44161,0,0,35,30,3250,7499,1,1,21,0,14182,15664,1,0,30,60,8192,22164,1,1,8,60,13678,22164,1,1,44,60,4825,10666,1,0,59,30,4767,10499,0,1,57,30,8146,17664,0,1,9,150,3864,16498,1,0,47,30,4409,8832,1,0,46,-60,8809,25997,1,1,63,30,5531,11499,1,1,53,30,12727,21498,1,1,32,60,4798,10665,0,0,31,30,4316,9832,1,1,41,60,5687,15331,0,2,39,-30,6460,10666,34,0,4301,15665,60,-60,5181,13498,11,-90,62923,77657,27,-30,10665,15831,14,-30,4171,10498,16,0,9616,35662,26,-30,5438,13165,50,-30,4539,8333,64,-30,5494,9499,28,0,4838,16498,12,-90,23080,29663,61,-30,6395,14831,48,-30,4951,9332,29,-60,3187,11165,42,-30,4818,8499,13,0,10731,17831,52,-30,10917,19164,7,-30,7921,16331,51,-30,5100,19164,1,-120,16643,45327,43,-90,4892,15331,23,0,6700,30996,40,-30,5833,13665,62,-30,12786,18831,22,0,6956,23997,49,-30,5200,9332,45,-30,6300,9832,56,-30,3539,10165,58,-30,7833,13165,3,-180,7029,23330,55,-60,7953,19498,4,4.333333333
99a1f00c,3,2,2,32,2,13,2,33,420,4802,36329,1,1,16,420,94351,128651,1,1,22,420,16424,50328,0,0,50,360,4293,30330,1,1,61,420,5419,34995,0,1,20,420,5236,43662,0,0,64,420,4106,32330,0,2,3,420,8389,41994,1,1,39,420,19893,52993,0,1,5,420,6462,38328,0,1,28,420,9491,39328,1,0,13,420,173577,200308,0,1,29,420,54730,89655,0,0,23,420,95230,127650,0,1,60,420,5135,32329,0,0,43,90,4869,14332,1,1,25,420,4791,50660,0,0,30,420,39758,73657,1,1,52,420,3321,29663,1,0,63,150,6856,20331,1,1,19,420,17591,49660,1,1,41,180,4872,39328,1,0,11,420,19771,62659,0,1,32,420,7559,38662,0,1,42,150,4699,23997,1,0,21,420,27538,65658,1,0,47,300,5766,28663,1,1,17,420,3911,37662,1,1,18,420,6092,39995,1,1,57,420,3973,31662,0,0,58,420,6540,34662,1,1,8,420,4289,39995,0,2,12,420,909188,939214,48,330,6760,28996,44,270,3644,19998,53,210,2792,24330,38,420,7424,40995,46,300,1757,18332,7,420,133059,260300,49,360,22442,48661,9,420,6686,41662,31,420,5146,36662,54,420,2396,30996,1,420,18515,63326,59,420,11719,39328,24,420,5787,43328,56,420,20510,48661,34,420,32644,63992,26,420,10471,37662,27,420,57501,82323,4,420,5962,42995,55,420,5714,31329,40,420,6152,36996,10,420,4598,43661,2,420,6153,46327,36,420,21549,64659,14,420,289418,322959,15,420,106,31329,6,420,3221,30329,37,420,10679,43661,45,420,3495,33663,35,420,3973,39662,51,300,4764,26664,62,180,17145,35329,4.375,4.833333333
aa61387f,1,1,2,32,2,16,2,39,0,4779,19497,1,1,47,0,3087,11332,1,1,46,0,4653,14831,0,0,50,0,7954,14832,1,1,62,0,4165,10165,0,1,58,-30,2664,6666,0,0,3,0,6531,19830,0,2,25,0,12021,21164,1,1,57,0,27178,45827,0,1,44,-180,4694,12332,0,1,52,0,4224,25497,1,0,6,0,4379,19831,0,1,24,-120,7347,17331,0,0,14,0,5919,20164,0,1,2,-180,9923,30829,0,0,41,0,6198,15165,1,1,48,0,5784,22164,0,0,21,0,3291,11166,1,1,9,-270,7094,21497,1,0,36,0,14383,28663,1,1,45,0,3291,16665,1,1,12,0,3523,12665,1,0,63,0,6366,14332,0,1,11,-30,5073,17165,0,1,28,0,8527,21164,1,0,7,-180,5455,17664,1,0,13,-90,4307,18831,1,1,5,-60,4949,19997,1,1,19,-210,6324,22497,1,1,38,0,4217,16665,0,0,64,-90,8712,16832,1,1,54,0,3891,14498,0,2,10,90,5548,19831,34,120,4014,22164,8,120,4452,11832,17,30,5162,18831,4,150,3571,10833,22,60,3783,19998,56,90,3729,7165,43,-150,4133,12498,26,180,3432,10665,33,-30,3362,18498,1,120,5231,14665,27,180,5208,14332,53,180,3198,14664,29,0,2891,18998,30,150,4167,12998,20,0,3428,14498,23,0,9936,25163,51,0,3689,11331,42,-90,6047,18997,49,150,3058,13498,32,150,4753,24330,31,210,9290,21497,35,150,6777,14165,61,240,2406,15665,16,180,7235,16831,15,120,3773,12665,60,60,2944,6999,18,0,3699,15332,40,60,4519,9832,37,60,5984,15498,55,120,4393,11831,59,30,3049,7166,3.5,3.833333333
