id,study_group,new_group,sex,age,race,educ,ethnic,Video,Position,Rating,ReactionTime,SelectionTime,Video_sex,Video_race,conte_mean_all,conte_mean_short
08797c9a,4,2,1,34,2,12,2,Video_1003,64,150,2861,9832,1,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1005,40,300,4495,18497,0,0,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1010,22,-90,34540,39828,1,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1011,41,-90,246,5333,0,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1015,13,0,4354,14331,0,0,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1019,5,0,8985,58992,0,2,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1021,48,-30,4759,17831,1,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1023,12,0,5539,31829,0,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1026,27,-180,6741,15831,0,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1029,59,0,5469,18831,1,0,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1031,54,0,3668,11665,0,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1032,44,0,8861,20831,0,0,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1033,18,0,17356,85656,0,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1038,21,240,9414,27163,0,0,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1043,46,0,45,7666,1,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1045,60,-90,3142,8999,0,0,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1046,17,-90,3521,25997,1,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1047,58,270,11895,29163,1,0,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1052,24,-180,4985,35662,1,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1053,63,-60,6279,55326,1,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1060,49,240,7672,19831,1,0,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1068,25,-90,1080,16665,0,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1069,6,90,21395,32829,0,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1073,36,-120,2823,9665,1,0,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1074,10,210,6275,29663,1,0,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1076,33,-180,4411,14331,1,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1078,38,0,8091,19164,1,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1079,52,120,8330,22164,1,1,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1080,20,-150,3309,11499,0,0,3.5,3.833333333
08797c9a,4,2,1,34,2,12,2,Video_1082,55,-30,177,10666,1,1,3.5,3.833333333
